threshold,tp,fp,fn,tn,total_cost,clients_contacted
0.1,372,732,2,303,23260,1104
0.05,372,856,2,179,23880,1228
0.15,367,625,7,410,24975,992
0.2,360,576,14,459,27880,936
0.25,351,505,23,530,31575,856
0.3,342,462,32,573,35410,804
0.35,335,417,39,618,38335,752
0.4,321,380,53,655,44450,701
0.45,312,328,62,707,48240,640
0.5,302,288,72,747,52540,590
0.55,283,240,91,795,60850,523
0.6,263,209,111,826,69695,472
0.65,243,174,131,861,78520,417
0.7,219,132,155,903,89110,351
0.75,188,97,186,938,102885,285
0.8,140,62,234,973,124310,202
0.85,98,35,276,1000,143075,133
0.9,55,11,319,1024,162305,66


